Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,IsCorrect,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_0_8_2.9_6249.4,ParticipantID,Trial,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_0_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_0_1_8_2.9_6249.4,VariabilityAcrossTime_xie21_HuBERT_T24_max_1_1_4_3.7_12189.7,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_0_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_0_1_8_2.7_6249.6,VariabilityAcrossTime_xie21_HuBERT_T24_mean_1_1_4_4.3_12186.4,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_0_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_0_1_4_0.4_6258.6,VariabilityAcrossTime_xie21_HuBERT_CNN7_max_1_1_0.5_-0.7_12210.9,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_0_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_0_1_0.5_0.4_6260.5,VariabilityAcrossTime_xie21_HuBERT_CNN7_mean_1_1_0.5_0.4_12210.2
Single talker,CMN_M_043,CMN_M_037,HT1_S010,going,1,1.246245265007019,e287481755f8c6d2779d32907bf15327,11,1.246245265007019,1.246245265007019,1.0604442,1.246245265007019,1.246245265007019,1.246245265007019,1.0604442,1.3319288492202759,1.3319288492202759,1.3319288492202759,0.6410445,0.6410444974899292,0.6410444974899292,0.6410444974899292,0.6410445
Single talker,CMN_M_043,CMN_M_037,HT1_S010,too,0,1.0082560777664185,e287481755f8c6d2779d32907bf15327,11,1.0082560777664185,1.0082560777664185,0.82992464,1.0082560777664185,1.0082560777664185,1.0082560777664185,0.82992464,0.7863950729370117,0.7863950729370117,0.7863950729370117,0.50137687,0.5013768672943115,0.5013768672943115,0.5013768672943115,0.50137687
Single talker,CMN_M_043,CMN_M_037,HT1_S010,fast,1,1.3418593406677246,e287481755f8c6d2779d32907bf15327,11,1.3418593406677246,1.3418593406677246,1.1537743,1.3418593406677246,1.3418593406677246,1.3418593406677246,1.1537743,1.0509785413742065,1.0509785413742065,1.0509785413742065,0.5569854,0.5569853782653809,0.5569853782653809,0.5569853782653809,0.5569854
Multi-talker,"CMN_M_035, CMN_M_016, CMN_M_037, CMN_M_021, CMN_M_032",CMN_M_043,HT1_S010,car,1,1.1077370643615723,a111e592a495ac05418110f210d00460,5,1.1077370643615723,1.1077370643615723,0.9557233,1.0886613130569458,1.0886613130569458,1.0886613130569458,0.93816185,1.1635918617248535,1.1635918617248535,1.1635918617248535,0.8315851,0.7090381383895874,0.7090381383895874,0.7090381383895874,0.70903814
Multi-talker,"CMN_M_035, CMN_M_016, CMN_M_037, CMN_M_021, CMN_M_032",CMN_M_043,HT1_S010,going,1,1.3276368379592896,a111e592a495ac05418110f210d00460,5,1.3276368379592896,1.3276368379592896,1.1072134,1.2923861742019653,1.2923861742019653,1.2923861742019653,1.0852317,1.2844862937927246,1.2844862937927246,1.2844862937927246,0.8748183,0.6558338403701782,0.6558338403701782,0.6558338403701782,0.65583384
Multi-talker,"CMN_M_035, CMN_M_016, CMN_M_037, CMN_M_021, CMN_M_032",CMN_M_043,HT1_S010,too,1,1.082549810409546,a111e592a495ac05418110f210d00460,5,1.082549810409546,1.082549810409546,0.8832214,0.9576781392097473,0.9576781392097473,0.9576781392097473,0.794019,1.0353012084960938,1.0353012084960938,1.0353012084960938,0.79621905,0.7310717105865479,0.7310717105865479,0.7310717105865479,0.7310717
Multi-talker,"CMN_M_035, CMN_M_016, CMN_M_037, CMN_M_021, CMN_M_032",CMN_M_043,HT1_S010,fast,1,1.3377714157104492,a111e592a495ac05418110f210d00460,5,1.3377714157104492,1.3377714157104492,1.1721268,1.3221721649169922,1.3221721649169922,1.3221721649169922,1.1607087,1.1000014543533325,1.1000014543533325,1.1000014543533325,0.8033926,0.673796534538269,0.673796534538269,0.673796534538269,0.67379653
Single talker,CMN_M_037,CMN_M_032,HT1_S010,car,1,1.0932064056396484,0f6c1690a62d8e75110c59f42d20e042,9,1.0932064056396484,1.0932064056396484,0.920724,1.0932064056396484,1.0932064056396484,1.0932064056396484,0.920724,1.038852572441101,1.038852572441101,1.038852572441101,0.5620512,0.5620511770248413,0.5620511770248413,0.5620511770248413,0.5620512
Single talker,CMN_M_037,CMN_M_032,HT1_S010,going,1,1.2978358268737793,0f6c1690a62d8e75110c59f42d20e042,9,1.2978358268737793,1.2978358268737793,1.0865436,1.2978358268737793,1.2978358268737793,1.2978358268737793,1.0865436,0.9799719452857971,0.9799719452857971,0.9799719452857971,0.46063173,0.46063172817230225,0.46063172817230225,0.46063172817230225,0.46063173
Single talker,CMN_M_037,CMN_M_032,HT1_S010,too,0,0.7990917563438416,0f6c1690a62d8e75110c59f42d20e042,9,0.7990917563438416,0.7990917563438416,0.6805987,0.7990917563438416,0.7990917563438416,0.7990917563438416,0.6805987,0.9215261340141296,0.9215261340141296,0.9215261340141296,0.68446016,0.6844601631164551,0.6844601631164551,0.6844601631164551,0.68446016
