Condition2,TrainingTalkerID,TestTalkerID,SentenceID,Keyword,xie21_HuBERT_T24_max_0_0_4.0_3.981_13.845_8311.014,IsCorrect,ParticipantID,Trial,TrainingTalkerID_sorted,UniqueExposureTestCombination,xie21_HuBERT_T24_max_1_0_8.0_3.162_13.199_8327.564,xie21_HuBERT_T24_max_0_1_4.0_3.388_15.878_10269.004,xie21_HuBERT_T24_max_1_1_4.0_1.905_14.967_10294.778,xie21_HuBERT_T24_mean_0_0_4.0_3.981_11.214_6162.445,xie21_HuBERT_T24_mean_1_0_4.0_3.16_9.603_6195.985,xie21_HuBERT_T24_mean_0_1_2.0_2.512_11.773_8124.613,xie21_HuBERT_T24_mean_1_1_8.0_1.585_10.277_8156.522,xie21_HuBERT_CNN7_max_0_0_0.5_0.196_6.307_8462.769,xie21_HuBERT_CNN7_max_1_0_0.5_0.016_5.409_8473.172,xie21_HuBERT_CNN7_max_0_1_0.5_0.2_10.215_10415.202,xie21_HuBERT_CNN7_max_1_1_0.5_0.1_9.858_10422.493,xie21_HuBERT_CNN7_mean_0_0_8.0_0.631_5.362_6259.394,xie21_HuBERT_CNN7_mean_1_0_0.5_0.016_3.176_6277.619,xie21_HuBERT_CNN7_mean_0_1_8.0_0.02_7.5_8206.049,xie21_HuBERT_CNN7_mean_1_1_0.5_0.01_6.405_8220.728
Control,"ENG_M_070, ENG_M_066, ENG_M_131, ENG_M_055, ENG_M_133",CMN_M_037,HT1_S023,children,,1,030d0b2b8c88fe760c1eefe71a4fe797,11,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",547,,,0.9196254550479585,,,,0.9189430583329589,,,,0.7019569174416277,,,,0.9571863956308444
Control,"ENG_M_070, ENG_M_066, ENG_M_131, ENG_M_055, ENG_M_133",CMN_M_037,HT1_S023,waved,,1,030d0b2b8c88fe760c1eefe71a4fe797,11,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",3139,,,0.9399271505674436,,,,0.7022472846751507,,,,0.6553598650854924,,,,0.9533889726818255
Control,"ENG_M_070, ENG_M_066, ENG_M_131, ENG_M_055, ENG_M_133",CMN_M_037,HT1_S023,train,,1,030d0b2b8c88fe760c1eefe71a4fe797,11,"ENG_M_055,ENG_M_066,ENG_M_070,ENG_M_131,ENG_M_133",2883,,,0.7475197640914302,,,,0.7432824711670324,,,,0.7502531353337323,,,,0.9658922666969525
Single talker,CMN_M_016,CMN_M_043,HT1_S023,children,0.9013385630949106,0,c994f2072e1ed22172c722afff4f59ea,9,CMN_M_016,556,0.9242428345558159,0.9153933064204263,0.9515088858247169,0.9013385630949106,0.9208552989283066,0.9254298169020995,0.9612796859880988,0.3347309074222395,0.9145335836868069,0.32825264943740107,0.5721341416514356,0.44926137597656923,0.9145335836868069,0.9749575524345279,0.9456921552512142
Single talker,CMN_M_016,CMN_M_043,HT1_S023,waved,0.7546691709941853,0,c994f2072e1ed22172c722afff4f59ea,9,CMN_M_016,3148,0.8058906943132182,0.786983604794756,0.8739844943383583,0.7546691709941853,0.7997731381396683,0.8161908820694477,0.89746910629302,0.3239333694475526,0.912088960068681,0.3174781388786962,0.5626424481477248,0.42394913298584874,0.912088960068681,0.9731671501151931,0.9441114167516468
Single talker,CMN_M_016,CMN_M_043,HT1_S023,train,0.2695894531410374,0,c994f2072e1ed22172c722afff4f59ea,9,CMN_M_016,2892,0.3689509052880455,0.3277207939993199,0.5340454899274085,0.2695894531410374,0.35327166569578067,0.37822425384244923,0.606647616794749,0.28790860159692433,0.9033530633798323,0.28157783991052676,0.529797018916288,0.3892168171066728,0.9033530633798323,0.970534162797651,0.9384495945736598
Talker-specific,CMN_M_037,CMN_M_037,HT1_S023,children,,1,50cc91e4b029146144b856af8e0a02a3,13,CMN_M_037,575,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_037,CMN_M_037,HT1_S023,waved,,1,50cc91e4b029146144b856af8e0a02a3,13,CMN_M_037,3167,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_037,CMN_M_037,HT1_S023,train,,1,50cc91e4b029146144b856af8e0a02a3,13,CMN_M_037,2911,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,children,,1,a1e111e94be1abd2daec335b01d2c353,1,CMN_M_032,573,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,waved,,1,a1e111e94be1abd2daec335b01d2c353,1,CMN_M_032,3165,,,1.0,,,,1.0,,,,1.0,,,,1.0
Talker-specific,CMN_M_032,CMN_M_032,HT1_S023,train,,1,a1e111e94be1abd2daec335b01d2c353,1,CMN_M_032,2909,,,1.0,,,,1.0,,,,1.0,,,,1.0
