sim_Agg,layer,TS,Ctrl,tau,best_k,z-value,BIC
max,T24,1,0,2.0,0.0015848931924611238,3.730755085215365,17094.31501569458
max,T24,1,0,4.0,0.0015848931924611238,3.743855275998772,17094.2290942998
max,T24,1,0,8.0,0.0025118864315095977,3.7672265790185664,17094.059397890094
max,T24,1,1,0.5,0.00039810717055349936,3.658265344268998,17094.811849433372
max,T24,1,1,1.0,0.0015848931924611238,3.7256120805682835,17094.33236191438
max,T24,1,1,2.0,0.0015848931924611238,3.730755085215365,17094.31501569458
max,T24,1,1,4.0,0.0015848931924611238,3.743855275998772,17094.2290942998
max,T24,1,1,8.0,0.0025118864315095977,3.7672265790185664,17094.059397890094
mean,CNN7,0,0,0.5,0.00010000000000000041,2.26879218865538,21255.452474316833
mean,CNN7,0,0,1.0,0.00025118864315095926,2.2755951191561925,21255.421354255053
mean,CNN7,0,0,2.0,0.00039810717055349936,2.28861438207841,21255.36141181183
mean,CNN7,0,0,4.0,0.00039810717055349936,2.3199064876687614,21255.216625905265
mean,CNN7,0,0,8.0,0.00039810717055349936,2.3350320679345615,21255.14591305937
mean,CNN7,0,1,0.5,0.00010000000000000041,2.26879218865538,21255.452474316833
mean,CNN7,0,1,1.0,0.00025118864315095926,2.2755951191561925,21255.421354255053
mean,CNN7,0,1,2.0,0.00039810717055349936,2.28861438207841,21255.36141181183
mean,CNN7,0,1,4.0,0.00039810717055349936,2.3199064876687614,21255.216625905265
mean,CNN7,0,1,8.0,0.00039810717055349936,2.3350320679345615,21255.14591305937
mean,CNN7,1,0,0.5,0.003981071705535002,3.606642135099734,17095.21680677762
mean,CNN7,1,0,1.0,0.003981071705535002,3.618818666012427,17095.12981208177
mean,CNN7,1,0,2.0,0.003981071705535002,3.643301318851098,17094.950897693856
mean,CNN7,1,0,4.0,0.003981071705535002,3.689559297680017,17094.611245897653
mean,CNN7,1,0,8.0,0.003981071705535002,3.7061670827384945,17094.48833381908
mean,CNN7,1,1,0.5,0.003981071705535002,3.606642135099734,17095.21680677762
mean,CNN7,1,1,1.0,0.003981071705535002,3.618818666012427,17095.12981208177
mean,CNN7,1,1,2.0,0.003981071705535002,3.643301318851098,17094.950897693856
mean,CNN7,1,1,4.0,0.003981071705535002,3.689559297680017,17094.611245897653
mean,CNN7,1,1,8.0,0.003981071705535002,3.7061670827384945,17094.48833381908
mean,T24,0,0,0.5,0.00025118864315095926,2.252972068275222,21255.52043435528
mean,T24,0,0,1.0,0.0006309573444801969,2.2689583764635897,21255.448214070766
mean,T24,0,0,2.0,0.001000000000000006,2.2647630778459664,21255.467647117646
mean,T24,0,0,4.0,0.001000000000000006,2.282500183066364,21255.386472221373
mean,T24,0,0,8.0,0.001000000000000006,2.3014128790631205,21255.299018350997
mean,T24,0,1,0.5,0.00025118864315095926,2.252972068275222,21255.52043435528
mean,T24,0,1,1.0,0.0006309573444801969,2.2689583764635897,21255.448214070766
mean,T24,0,1,2.0,0.001000000000000006,2.2647630778459664,21255.467647117646
mean,T24,0,1,4.0,0.001000000000000006,2.282500183066364,21255.386472221373
mean,T24,0,1,8.0,0.001000000000000006,2.3014128790631205,21255.299018350997
mean,T24,1,0,0.5,0.003981071705535002,2.6593102863685623,17101.130964207307
mean,T24,1,0,1.0,0.0015848931924611238,2.7576250714040995,17100.60454437422
mean,T24,1,0,2.0,0.001000000000000006,2.789894115651248,17100.432455669652
mean,T24,1,0,4.0,0.003981071705535002,2.8195768413336872,17100.270134166025
mean,T24,1,0,8.0,0.0025118864315095977,2.8556421648144825,17100.06713564904
mean,T24,1,1,0.5,0.003981071705535002,2.6593102863685623,17101.130964207307
mean,T24,1,1,1.0,0.0015848931924611238,2.7576250714040995,17100.60454437422
mean,T24,1,1,2.0,0.001000000000000006,2.789894115651248,17100.432455669652
mean,T24,1,1,4.0,0.003981071705535002,2.8195768413336872,17100.270134166025
mean,T24,1,1,8.0,0.0025118864315095977,2.8556421648144825,17100.06713564904
