layer,fold,type,method,alpha,tau,z_train,z_test,poll_train,poll_test,optimism
tr_14,2,regularized,Overall,0.1,3.999995423700772,-1.1038812758556227,-0.35254584541541945,-0.2880018631411783,-0.2963778938850782,0.029083251936442997
tr_14,3,regularized,Overall,0.1,3.999995423700772,-1.9910532670906047,0.3810547899936021,-0.26848385697291316,-0.359512672050046,0.3390476287977216
tr_14,1,corrected_mean,Overall,0.1,2.993896826066577,1.261083435762255,-2.549677984106,-0.278722826114036,-0.3245826867709407,0.1645357192171327
tr_14,2,corrected_mean,Overall,0.1,2.993896826066577,-1.1469413403779258,-0.2450712459178338,-0.2879933863514136,-0.2963893226900969,0.029153226207904847
tr_14,3,corrected_mean,Overall,0.1,2.993896826066577,-2.0180223606537493,0.4455293794302447,-0.2684768258368829,-0.35950325025340674,0.33904760357911956
tr_16,1,regularized,Overall,0.1,0.5000169430825717,2.2420532964250133,-3.8181794117533023,-0.2784233114080669,-0.32303667837902217,0.16023574586959904
tr_16,2,regularized,Overall,0.1,3.999995423700772,-0.5037945801853716,-0.3999056120027833,-0.2880884814743108,-0.2963718799544002,0.02875296658060935
tr_16,3,regularized,Overall,0.1,3.999995423700772,-2.4966623193232778,1.3399213809288846,-0.26828662858092966,-0.35922127337413656,0.33894587022169137
tr_16,1,corrected_mean,Overall,0.1,2.833335930161372,2.1103824703990988,-3.3012800483731874,-0.2784706998835405,-0.3237709111506095,0.16267496467676512
tr_16,2,corrected_mean,Overall,0.1,2.833335930161372,-0.5183700825502153,-0.47340243411227684,-0.2880871479916818,-0.2963606122111897,0.028718616145093735
tr_16,3,corrected_mean,Overall,0.1,2.833335930161372,-2.5890709423545597,1.349323165128781,-0.2682438326534161,-0.3592168430214022,0.3391429710353401
tr_18,1,regularized,Overall,0.1,1.5958605093273104,1.3075542316456017,-3.1769348691307067,-0.2787142226421675,-0.32386440812856876,0.16199455147421082
tr_18,2,regularized,Overall,0.1,3.999995423700772,-0.699767320403854,0.04016085153772014,-0.28806729257667973,-0.29639970127292553,0.028925216124728283
tr_18,3,regularized,Overall,0.1,3.999995423700772,-2.1730245394703744,0.6949457459074546,-0.2684187428201831,-0.3594528840942266,0.339149719269151
tr_18,1,corrected_mean,Overall,0.1,3.198617118909618,1.4877398993226671,-2.718362457754792,-0.27866907949849923,-0.32439458054283016,0.16408530550508094
tr_18,2,corrected_mean,Overall,0.1,3.198617118909618,-0.7409264989548188,-0.02192497429539314,-0.2880619791077327,-0.2963999109106198,0.028944922994397663
tr_18,3,corrected_mean,Overall,0.1,3.198617118909618,-2.2900986735898012,0.6885062359188541,-0.26837246839546947,-0.35945454607531363,0.3393868164808435
tr_20,1,regularized,Overall,0.1,0.9902479286339573,2.638836294952683,-3.047231154303898,-0.27824049281404184,-0.3241483464475663,0.16499343129113248
tr_20,2,regularized,Overall,0.1,1.5380378752381978,0.07148156848602934,0.20099045238795188,-0.2881106417874833,-0.29639289956417614,0.02874679576328184
tr_20,3,regularized,Overall,0.1,3.999995423700772,-1.7670440800919924,1.6395946357684437,-0.2685626513616575,-0.35905734449832416,0.33695933771074804
tr_20,1,corrected_mean,Overall,0.1,2.176093742524309,2.4602154615234,-2.4895112401182713,-0.27832313222391813,-0.3246613376809573,0.1664906725027759
tr_20,2,corrected_mean,Overall,0.1,2.176093742524309,0.20760731899419246,0.09468617359786309,-0.28810726764487155,-0.2963984048434508,0.028777952275744527
tr_20,3,corrected_mean,Overall,0.1,2.176093742524309,-1.8290974589571747,1.8337187432540107,-0.26854525284140035,-0.3589410905850804,0.3366130541770059
tr_22,1,regularized,Overall,0.1,0.5000624030588069,3.4515617080797862,-1.0493962434859765,-0.27777567420716953,-0.325578223949109,0.17209048228711193
tr_22,2,regularized,Overall,0.1,0.9043679963453375,1.58079268788897,1.0044393858486027,-0.2878878338018461,-0.29622210565764684,0.028949718873973712
tr_22,3,regularized,Overall,0.1,3.999995423700772,-0.1513349987847903,2.964752466364968,-0.2688376992635303,-0.3579442070011812,0.33145093854676805
tr_22,1,corrected_mean,Overall,0.1,1.8014752743683056,3.2102573551093547,-1.003966732673907,-0.27792711636101486,-0.32559541157468713,0.17151365378739544
tr_22,2,corrected_mean,Overall,0.1,1.8014752743683056,1.6852455444222185,0.77647220406445,-0.2878574328638786,-0.2962941323758623,0.0293086040129219
tr_22,3,corrected_mean,Overall,0.1,1.8014752743683056,-0.04131325568709989,3.0511884785036085,-0.26883956667844006,-0.3578556657208368,0.33111234384955407
tr_24,1,regularized,Overall,0.1,0.6770151125246747,3.650855360706882,-2.2324857018971502,-0.2776640344433704,-0.3249033739332436,0.17013128684301262
tr_24,2,regularized,Overall,0.1,0.9680259484586747,1.6121889044193982,0.9044935561577032,-0.28788037691979723,-0.29625677725095284,0.029096808962040695
tr_24,3,regularized,Overall,0.1,3.999995423700772,-0.6534196216941145,3.314634201809308,-0.2688019379332202,-0.3574098004715719,0.3296399691893775
tr_24,1,corrected_mean,Overall,0.1,1.8816788282280406,3.473721481332183,-1.7251122378112986,-0.27776607052180646,-0.32524505740002646,0.1709315568637552
tr_24,2,corrected_mean,Overall,0.1,1.8816788282280406,1.6121181856821252,0.6795444243564591,-0.2878788731017798,-0.2963187396189539,0.029317422380593306
tr_24,3,corrected_mean,Overall,0.1,1.8816788282280406,-0.5561479095515791,3.697040052636805,-0.268812388149491,-0.3570220077327491,0.3281456639349646
cnn_2,1,regularized,Overall,0.1,3.999995423700772,-0.297359019637575,-2.3226748518540252,-0.27885757976920744,-0.32485077088929903,0.1649343408852548
cnn_2,2,regularized,Overall,0.1,3.999995423700772,-0.6413498651788182,-1.4032340287972949,-0.2880748275230509,-0.2960600792136265,0.027719366385584702
cnn_2,3,regularized,Overall,0.1,3.999995423700772,-3.18390729113258,1.0852775155650363,-0.267965451268583,-0.35932662179972175,0.34094384219541424
cnn_2,1,corrected_mean,Overall,0.1,3.999995423700772,-0.297359019637575,-2.3226748518540252,-0.27885757976920744,-0.32485077088929903,0.1649343408852548
cnn_2,2,corrected_mean,Overall,0.1,3.999995423700772,-0.6413498651788182,-1.4032340287972949,-0.2880748275230509,-0.2960600792136265,0.027719366385584702
cnn_2,3,corrected_mean,Overall,0.1,3.999995423700772,-3.18390729113258,1.0852775155650363,-0.267965451268583,-0.35932662179972175,0.34094384219541424
cnn_3,1,regularized,Overall,0.1,0.5000082509964918,0.6995759340736928,-2.487789913431022,-0.2788218936392287,-0.3246778103912414,0.16446311354353774
cnn_3,2,regularized,Overall,0.1,3.999995423700772,-0.8405323397381997,0.23015537185160603,-0.2880481828123905,-0.2963907464734844,0.028962389485121476
cnn_3,3,regularized,Overall,0.1,3.999995423700772,-1.4053812922338091,0.3719518261163662,-0.2686644702804457,-0.35951413177768526,0.3381528692737303
cnn_3,1,corrected_mean,Overall,0.1,2.833333032799345,0.3385422280868906,-2.097511122395328,-0.27885522997831,-0.32499786729188285,0.1654716582405928
cnn_3,2,corrected_mean,Overall,0.1,2.833333032799345,-0.8529155677683978,0.24459372244100572,-0.28804632416562975,-0.296389550010732,0.028964875247999258
cnn_3,3,corrected_mean,Overall,0.1,2.833333032799345,-1.485212537040666,0.41137485486640124,-0.2686440463866152,-0.359508659758335,0.3382342344596511
cnn_4,1,regularized,Overall,0.1,0.5000546200783275,0.3556362539494722,0.650611616884384,-0.2788541661755401,-0.3256964530177604,0.167981305370682
cnn_4,2,regularized,Overall,0.1,0.5139749456412013,0.8119705233456753,0.8915401589349271,-0.288052728034647,-0.29626176489666045,0.028498382633009054
cnn_4,3,regularized,Overall,0.1,0.9064741009380618,1.0156294041186427,0.20546050014511652,-0.26874955952860274,-0.3595311637624999,0.33779256938367314
cnn_4,1,corrected_mean,Overall,0.1,0.6401678888858635,0.3489855239724575,0.7040068682074606,-0.27885458327390206,-0.3256839273768767,0.16793464017400417
cnn_4,2,corrected_mean,Overall,0.1,0.6401678888858635,0.8226027380839208,0.910168863243181,-0.2880511813530093,-0.2962559400437812,0.028483683532326547
